account_id,customer_id,iban,product_id,branch_id,currency,status,opened_at,closed_at
ACC0000046,CUST000035,LU79P5JO3Q3QA3S8KE2W,PR003,BR003,EUR,CLOSED,2021-11-20T07:09:58+00:00,2022-09-13T10:18:31+00:00
ACC0000047,CUST000036,LU38MY4GPYWSSBZRAD5S,PR005,BR007,EUR,OPEN,2025-11-07T08:28:52+00:00,
ACC0000048,CUST000036,LU24QIGCT2CXIFSU0LMI,PR004,BR010,EUR,OPEN,2025-11-07T08:28:52+00:00,
ACC0000049,CUST000036,LU324SVH3EJOZ9XFZAQ8,PR006,BR009,EUR,OPEN,2025-11-07T08:28:52+00:00,
ACC0000050,CUST000037,LU47GO4B9UOE3T0HICCT,PR006,BR005,EUR,OPEN,2025-09-26T04:23:46+00:00,
ACC0000051,CUST000038,LU17Y3X80J0G50RCXN22,PR002,BR002,EUR,OPEN,2025-08-22T19:01:36+00:00,
ACC0000052,CUST000038,LU478WDZRMH3FNBDVPIN,PR004,BR006,EUR,OPEN,2025-08-22T19:01:36+00:00,
ACC0000053,CUST000038,LU29VJARJI8QLHBIAWPU,PR002,BR009,EUR,OPEN,2025-08-22T19:01:36+00:00,
ACC0000054,CUST000038,LU67HE42X6G26OC7T3BD,PR001,BR003,EUR,CLOSED,2025-08-22T19:01:36+00:00,2025-08-22T19:01:36+00:00
ACC0000055,CUST000039,LU56EFUJEIR9UY7S361G,PR007,BR007,EUR,OPEN,2023-02-15T09:27:54+00:00,
ACC0000056,CUST000039,LU290V3Z0GU1UQXJ4EFF,PR002,BR009,EUR,OPEN,2023-02-15T09:27:54+00:00,
ACC0000057,CUST000039,LU47I9D99VH0W1DSTWG6,PR002,BR007,EUR,OPEN,2023-02-15T09:27:54+00:00,
ACC0000058,CUST000039,LU13W9XHRO199BRBLRTV,PR004,BR003,EUR,OPEN,2023-02-15T09:27:54+00:00,
ACC0000059,CUST000040,LU117NY03VKXTUFDJKDF,PR003,BR003,EUR,CLOSED,2021-10-27T08:31:02+00:00,2021-10-27T08:31:02+00:00
ACC0000060,CUST000041,LU276HW1HS57TCOZDANT,PR007,BR008,EUR,OPEN,2023-10-18T18:38:18+00:00,
ACC0000061,CUST000042,LU0051LIY8O69WEZC1B3,PR003,BR005,EUR,OPEN,2021-09-28T00:35:53+00:00,
ACC0000062,CUST000042,LU900SHZBUK3XF1GP1Z7,PR002,BR006,EUR,OPEN,2021-09-28T00:35:53+00:00,
ACC0000063,CUST000043,LU21E6H76MWWJPGJQMLJ,PR005,BR006,EUR,OPEN,2025-06-05T08:53:17+00:00,
ACC0000064,CUST000044,LU722UUJ2E42TRDW6ET3,PR002,BR003,EUR,OPEN,2025-05-17T22:18:19+00:00,
ACC0000065,CUST000045,LU786Y39C2MU46JD2GVF,PR001,BR006,EUR,CLOSED,2025-11-03T17:32:06+00:00,2025-11-03T17:32:06+00:00
ACC0000066,CUST000046,LU5677KXXSY0VDVEVG9Y,PR003,BR001,EUR,OPEN,2025-10-30T10:44:10+00:00,
ACC0000067,CUST000047,LU18WTZIFT9YVI7F16XB,PR003,BR006,EUR,OPEN,2023-05-15T19:27:27+00:00,
ACC0000068,CUST000048,LU62MOIJESG687CVIYJK,PR003,BR004,EUR,OPEN,2023-06-24T06:09:52+00:00,
ACC0000069,CUST000049,LU86P2S2O8PT4MX23SY6,PR003,BR008,EUR,OPEN,2024-11-18T09:02:05+00:00,
ACC0000070,CUST000050,LU064X9G7HSFKR26J1FO,PR003,BR004,EUR,OPEN,2022-05-23T17:41:04+00:00,
ACC0000071,CUST000051,LU30YFXOBUGVJICS4I42,PR006,BR001,EUR,CLOSED,2021-06-24T14:22:38+00:00,2021-06-24T14:22:38+00:00
ACC0000072,CUST000051,LU19971HSPTHDP03EH58,PR001,BR002,EUR,OPEN,2021-06-24T14:22:38+00:00,
ACC0000073,CUST000052,LU78WP0LF7XE78669BY4,PR004,BR003,EUR,OPEN,2023-03-31T21:40:37+00:00,
ACC0000074,CUST000053,LU45EWPGVICW8VL34LIE,PR007,BR006,EUR,OPEN,2023-05-29T15:59:51+00:00,
ACC0000075,CUST000054,LU25CUT6Z84QCMSWDVRH,PR008,BR001,EUR,OPEN,2024-10-12T18:29:28+00:00,
ACC0000076,CUST000055,LU49VL55X7RF1F1L8SUG,PR007,BR007,EUR,OPEN,2023-01-13T07:10:00+00:00,
ACC0000077,CUST000056,LU54K2W2CW1RDEZX6KBJ,PR005,BR005,EUR,OPEN,2023-01-22T18:08:28+00:00,
ACC0000078,CUST000057,LU46YCJ2XX2EI7XZURPH,PR008,BR001,EUR,CLOSED,2023-07-01T20:27:34+00:00,2023-07-01T20:27:34+00:00
ACC0000079,CUST000057,LU71HQQ2NS5MHIE2L2FU,PR001,BR003,EUR,OPEN,2023-07-01T20:27:34+00:00,
ACC0000080,CUST000058,LU20LX6OHMIP5BX9X39I,PR002,BR009,EUR,OPEN,2022-09-21T12:38:25+00:00,
ACC0000081,CUST000059,LU914700EIUE237WI9LI,PR002,BR002,EUR,OPEN,2024-05-23T18:29:19+00:00,
ACC0000082,CUST000060,LU20UOW7SFQM9RIT8F6K,PR001,BR002,EUR,OPEN,2022-09-28T04:41:31+00:00,
ACC0000083,CUST000061,LU72CBFCQN0B58ST4PZT,PR003,BR003,EUR,OPEN,2022-10-19T19:23:44+00:00,
ACC0000084,CUST000062,LU59NVJUUWZIX69GUP3H,PR001,BR003,EUR,OPEN,2023-02-13T06:58:07+00:00,
ACC0000085,CUST000063,LU780PKUUMK5635T5BFZ,PR004,BR003,EUR,CLOSED,2023-08-22T05:02:27+00:00,2023-08-22T05:02:27+00:00
ACC0000086,CUST000064,LU634S8AG1IQXZXCZD9M,PR004,BR004,EUR,CLOSED,2022-08-09T07:48:37+00:00,2022-08-09T07:48:37+00:00
ACC0000087,CUST000065,LU979RHIGZXV9XJM6Z6C,PR005,BR002,EUR,OPEN,2025-08-08T08:14:19+00:00,
ACC0000088,CUST000066,LU196IUUKZTV6685T4BX,PR003,BR006,EUR,OPEN,2025-06-21T19:17:13+00:00,
ACC0000089,CUST000067,LU92B4QOD4K7YJPCHMB2,PR002,BR007,EUR,OPEN,2023-07-16T08:02:22+00:00,
ACC0000090,CUST000068,LU994DI7N9U47YUL38V8,PR003,BR007,EUR,OPEN,2023-02-14T08:27:47+00:00,
ACC0000091,CUST000069,LU31R9TOTSN5U4W9RSH8,PR005,BR010,EUR,OPEN,2025-03-01T20:07:29+00:00,
ACC0000092,CUST000070,LU36FW2Q4NM8R9RIGPPD,PR007,BR006,EUR,OPEN,2024-05-22T14:54:04+00:00,
ACC0000093,CUST000071,LU914GIA9K044MSUSDFO,PR004,BR004,EUR,CLOSED,2022-02-01T04:22:07+00:00,2022-06-09T10:55:41+00:00
ACC0000094,CUST000072,LU22CZ5LSCATGVS3875I,PR001,BR003,EUR,OPEN,2023-06-20T00:26:47+00:00,
ACC0000095,CUST000073,LU42K3QLAVSMLZ16UFZG,PR008,BR005,EUR,OPEN,2025-11-17T03:52:54+00:00,
ACC0000096,CUST000073,LU31AQYP2RVTAQXPDH3T,PR003,BR003,EUR,OPEN,2025-11-17T03:52:54+00:00,
ACC0000097,CUST000074,LU28OI4J3X0948NPF727,PR005,BR002,EUR,OPEN,2025-06-01T22:22:45+00:00,
ACC0000098,CUST000075,LU738JKU72HN5F62D3I6,PR002,BR010,EUR,CLOSED,2024-12-13T23:01:30+00:00,2024-12-13T23:01:30+00:00
ACC0000099,CUST000076,LU39BZQANEC1WE8DE4CS,PR001,BR009,EUR,OPEN,2025-03-31T05:33:50+00:00,
ACC0000100,CUST000077,LU482YYF8IWHL8Z7IOAB,PR003,BR007,EUR,OPEN,2023-12-25T01:59:56+00:00,
ACC0000101,CUST000078,LU29P3WJRMHC0BPNEGC2,PR008,BR009,EUR,OPEN,2022-08-25T17:57:26+00:00,
ACC0000102,CUST000078,LU298NDI6SOUUPTJ7O0T,PR001,BR004,EUR,OPEN,2022-06-12T23:32:08+00:00,
ACC0000103,CUST000078,LU5495DWY7U00JTYL84P,PR005,BR001,EUR,OPEN,2022-07-08T09:33:26+00:00,
ACC0000104,CUST000079,LU710097IYPQNVF2XF8M,PR005,BR003,EUR,OPEN,2023-11-13T21:29:44+00:00,
ACC0000105,CUST000079,LU77CEM9N4NVTANMH4PN,PR001,BR005,EUR,OPEN,2023-09-08T05:00:06+00:00,
ACC0000106,CUST000080,LU4838WTQX653G4UNXU0,PR004,BR009,EUR,OPEN,2026-01-08T05:58:30+00:00,
ACC0000107,CUST000081,LU740SJMVOYP59VQ553K,PR004,BR003,EUR,OPEN,2024-09-08T11:52:57+00:00,
ACC0000108,CUST000082,LU62L8D7CEDA0IOEJAN6,PR006,BR003,EUR,OPEN,2023-06-12T14:55:24+00:00,
ACC0000109,CUST000083,LU02A890AB7R8SB61LGG,PR001,BR010,EUR,OPEN,2023-01-16T01:48:26+00:00,
ACC0000110,CUST000084,LU34ZFXZ3POTFCFZYY94,PR004,BR004,EUR,OPEN,2021-05-09T20:16:00+00:00,
ACC0000111,CUST000085,LU55VG7CON4RCER8CLUB,PR001,BR003,EUR,OPEN,2024-05-07T11:25:28+00:00,
ACC0000112,CUST000086,LU72PY8VYIF6WDG1OEVZ,PR003,BR007,EUR,OPEN,2024-09-16T09:32:36+00:00,
ACC0000113,CUST000086,LU575OW9Y1LYFSPEFRJY,PR006,BR001,EUR,OPEN,2024-09-16T09:32:36+00:00,
ACC0000114,CUST000086,LU11AT2XRGIFL129960G,PR003,BR007,EUR,OPEN,2024-09-16T09:32:36+00:00,
ACC0000115,CUST000087,LU41YAS0YF9P7KYKIRTR,PR006,BR009,EUR,OPEN,2024-02-06T22:19:33+00:00,
ACC0000116,CUST000088,LU384EXQP5M3GITAZVYV,PR002,BR003,EUR,OPEN,2023-03-24T22:10:15+00:00,
ACC0000117,CUST000089,LU77M4ULZUS5PUYRZXHM,PR007,BR010,EUR,OPEN,2022-02-05T00:53:12+00:00,
ACC0000118,CUST000090,LU59N2SE05ITPQJ1YE24,PR003,BR009,EUR,OPEN,2022-02-15T22:27:25+00:00,
ACC0000119,CUST000091,LU468FGPWKCZV1GAGQO6,PR007,BR009,EUR,OPEN,2026-01-08T13:54:25+00:00,
ACC0000120,CUST000092,LU986JWB4GS0FHJWTV3N,PR004,BR008,EUR,OPEN,2023-03-11T03:33:14+00:00,
ACC0000121,CUST000093,LU892UETCHBVGKP7L9KV,PR006,BR008,EUR,OPEN,2025-12-13T16:07:11+00:00,
ACC0000122,CUST000094,LU231ZBM21YANNREG8LX,PR008,BR004,EUR,OPEN,2024-01-10T19:25:55+00:00,
ACC0000123,CUST000095,LU627UYZHWW3LTFIUHPT,PR008,BR002,EUR,OPEN,2025-04-24T21:21:09+00:00,
ACC0000124,CUST000096,LU76IY1L58L9K5SILU2D,PR006,BR003,EUR,OPEN,2025-11-02T06:46:47+00:00,
ACC0000125,CUST000097,LU4996505025KFBOSCRO,PR001,BR008,EUR,OPEN,2023-04-14T21:08:07+00:00,
ACC0000126,CUST000097,LU98596HHR8X8C28N1GP,PR005,BR003,EUR,OPEN,2023-06-16T04:06:34+00:00,
ACC0000127,CUST000098,LU112HPNW1KINNDW8R8K,PR001,BR008,EUR,OPEN,2024-05-07T02:52:55+00:00,
ACC0000128,CUST000099,LU65GI0DRIIPJUPZ5JR0,PR005,BR005,EUR,OPEN,2023-04-28T07:32:36+00:00,
ACC0000129,CUST000100,LU35X35UAF3WE8ZN1N5R,PR002,BR002,EUR,OPEN,2022-10-01T05:35:28+00:00,
ACC0000130,CUST000101,LU62VDCG3BHK23A1MITK,PR005,BR006,EUR,OPEN,2025-03-04T19:27:59+00:00,
ACC0000131,CUST000102,LU47KDZTO1FGAN4EIO72,PR005,BR002,EUR,OPEN,2024-07-25T01:43:29+00:00,
ACC0000132,CUST000102,LU54I4EOYFGGUXTIYIJE,PR001,BR001,EUR,OPEN,2024-07-25T01:43:29+00:00,
ACC0000133,CUST000103,LU92NJ02NFGIHYW1UIPR,PR001,BR010,EUR,OPEN,2024-01-18T15:48:01+00:00,
ACC0000134,CUST000104,LU88BTN76MZSDP5YHP5E,PR004,BR009,EUR,OPEN,2023-09-25T06:51:31+00:00,
ACC0000135,CUST000105,LU720X8L4EBEAQNCDZ6S,PR001,BR006,EUR,OPEN,2022-09-12T21:09:52+00:00,
ACC0000136,CUST000106,LU35FTF6NJ8UZET1PDPF,PR007,BR007,EUR,CLOSED,2025-08-02T15:09:06+00:00,2025-08-02T15:09:06+00:00
ACC0000137,CUST000107,LU94LHAIAK5W77QKXIRH,PR002,BR008,EUR,OPEN,2022-08-26T03:31:22+00:00,
ACC0000138,CUST000107,LU08QE536XD5KXKQGHO6,PR001,BR006,EUR,OPEN,2022-08-26T03:31:22+00:00,
ACC0000139,CUST000108,LU49JLC90OUP0UREXH6D,PR001,BR004,EUR,OPEN,2025-10-30T20:49:35+00:00,
ACC0000140,CUST000109,LU36TUF93AXMSTP3X5M8,PR001,BR007,EUR,OPEN,2026-01-03T04:43:20+00:00,
ACC0000141,CUST000110,LU03O8WAVAYTGN7P05DJ,PR004,BR003,EUR,OPEN,2025-03-09T21:27:42+00:00,
ACC0000142,CUST000111,LU660X3FG6IZED1IPSQU,PR002,BR001,EUR,OPEN,2021-07-31T04:46:25+00:00,
ACC0000143,CUST000112,LU29EMIGJGK23U0H8WN2,PR007,BR006,EUR,OPEN,2024-08-30T15:34:31+00:00,
ACC0000144,CUST000112,LU11KTCNUJFPWZ6DTQLB,PR005,BR008,EUR,OPEN,2024-08-30T15:34:31+00:00,
ACC0000145,CUST000113,LU17HADOIMZXFQEBEM2I,PR008,BR009,EUR,CLOSED,2024-11-21T03:03:43+00:00,2024-11-21T03:03:43+00:00
ACC0000146,CUST000113,LU06K1Z5BY1LWNLRR2JC,PR002,BR006,EUR,CLOSED,2024-11-21T03:03:43+00:00,2024-11-21T03:03:43+00:00
ACC0000147,CUST000113,LU704DFRYI0M7P8BYW48,PR004,BR005,EUR,OPEN,2024-11-21T03:03:43+00:00,
ACC0000148,CUST000114,LU34LBUOBRD47WOKGPPR,PR006,BR010,EUR,OPEN,2022-07-03T01:25:37+00:00,
ACC0000149,CUST000115,LU22LPUWBWJM58TL5CFD,PR001,BR004,EUR,OPEN,2022-08-08T15:52:08+00:00,
ACC0000150,CUST000116,LU16VLUDBJJH7XEXZGVT,PR004,BR001,EUR,CLOSED,2023-08-08T13:15:30+00:00,2023-08-08T13:15:30+00:00
ACC0000151,CUST000117,LU229WOLYTSILAZCLUOG,PR003,BR007,EUR,OPEN,2025-03-07T16:51:52+00:00,
ACC0000152,CUST000118,LU40KFV2AQNPEWQGADY2,PR003,BR006,EUR,OPEN,2023-01-14T02:23:55+00:00,
ACC0000153,CUST000118,LU48W8YG4OK2ECSBUQGE,PR007,BR003,EUR,OPEN,2023-01-14T02:23:55+00:00,
ACC0000154,CUST000119,LU11V4B1K1KDGVNM098Q,PR007,BR003,EUR,OPEN,2023-09-28T08:35:25+00:00,
ACC0000155,CUST000120,LU19DXA1FS4MGBNKSF4H,PR005,BR004,EUR,CLOSED,2023-09-17T10:04:25+00:00,2023-09-17T10:04:25+00:00
ACC0000156,CUST000121,LU33F8YLXYXL2CQ23QOR,PR007,BR008,EUR,OPEN,2023-07-18T06:28:38+00:00,
ACC0000157,CUST000122,LU690O9DY7084P4TFZC6,PR003,BR002,EUR,OPEN,2026-01-06T17:20:43+00:00,
ACC0000158,CUST000123,LU21NMIC1F1MJQUEFY9Z,PR003,BR002,EUR,OPEN,2022-06-03T09:59:22+00:00,
ACC0000159,CUST000124,LU0170H0JJGGGS8W0QY5,PR005,BR009,EUR,OPEN,2024-10-30T21:19:53+00:00,
ACC0000160,CUST000125,LU18ZCZVPD4RXBVTTR5G,PR008,BR001,EUR,OPEN,2023-11-09T03:13:48+00:00,
ACC0000161,CUST000126,LU56UR0FM2N057XD6KET,PR004,BR003,EUR,OPEN,2025-03-03T04:38:12+00:00,
ACC0000162,CUST000126,LU03LMMDPC3DXMRX36ZH,PR007,BR003,EUR,OPEN,2025-08-24T00:40:43+00:00,
ACC0000163,CUST000126,LU57L49WWKQFSBYDKNOO,PR001,BR004,EUR,OPEN,2025-04-28T02:33:32+00:00,
ACC0000164,CUST000127,LU60ILAOQTR1YW3QN3T7,PR005,BR007,EUR,CLOSED,2024-07-25T03:33:20+00:00,2024-07-25T03:35:45+00:00
ACC0000165,CUST000128,LU71STG4EVRURQTMJ7PD,PR007,BR010,EUR,CLOSED,2025-07-14T09:02:04+00:00,2025-07-14T09:02:04+00:00
ACC0000166,CUST000128,LU835SQ0ZYCMVO84W6TK,PR007,BR006,EUR,OPEN,2025-07-14T09:02:04+00:00,
ACC0000167,CUST000129,LU94Q9LVFOWOT0VXQS3H,PR003,BR005,EUR,OPEN,2023-05-25T08:32:52+00:00,
ACC0000168,CUST000129,LU246HY7T0DJIMV03JUL,PR008,BR001,EUR,OPEN,2023-05-25T08:32:52+00:00,
ACC0000169,CUST000130,LU07A2RNKK5FI11Z14YA,PR008,BR006,EUR,OPEN,2023-07-15T10:56:47+00:00,
ACC0000170,CUST000131,LU967MBAPOWTIGY6TKEC,PR004,BR006,EUR,OPEN,2022-02-02T03:39:56+00:00,
ACC0000171,CUST000132,LU87IV5WMKZBOOINB6KH,PR005,BR008,EUR,OPEN,2023-08-10T10:09:59+00:00,
ACC0000172,CUST000133,LU79DDGBDH02YH9Q4JNA,PR001,BR007,EUR,OPEN,2025-10-24T08:41:41+00:00,
ACC0000173,CUST000134,LU89I0G6HSHG5MMQ7MW0,PR002,BR009,EUR,OPEN,2021-09-19T12:48:30+00:00,
ACC0000174,CUST000135,LU884VPAAFH5JF6EGQO3,PR001,BR009,EUR,OPEN,2021-02-22T14:40:15+00:00,
ACC0000175,CUST000136,LU05SXU1HGCAIKVW2RFX,PR005,BR005,EUR,CLOSED,2022-05-22T07:28:07+00:00,2022-05-22T07:28:07+00:00
ACC0000176,CUST000136,LU58RY40KHIDKG042LYW,PR006,BR003,EUR,OPEN,2022-05-22T07:28:07+00:00,
ACC0000177,CUST000136,LU1402CEQUA7OV77G1P4,PR001,BR003,EUR,OPEN,2022-05-22T07:28:07+00:00,
ACC0000178,CUST000137,LU78DAK645KE5UPVRD6O,PR007,BR003,EUR,OPEN,2025-04-17T18:25:09+00:00,
ACC0000179,CUST000138,LU732F52UH5BGZ0C99AF,PR007,BR007,EUR,CLOSED,2024-08-13T21:00:10+00:00,2024-08-13T21:00:10+00:00
ACC0000180,CUST000139,LU58VXDO3V94X2HGOAVW,PR005,BR009,EUR,OPEN,2022-06-02T05:11:09+00:00,
ACC0000181,CUST000140,LU05K5I0GQMMHZN3MVG0,PR005,BR009,EUR,OPEN,2024-11-13T15:00:07+00:00,
ACC0000182,CUST000140,LU5736I5A7D9146LLIGY,PR001,BR010,EUR,OPEN,2024-11-13T15:00:07+00:00,
ACC0000183,CUST000141,LU77PRZVS2II06T9U9NM,PR006,BR009,EUR,OPEN,2022-06-09T05:23:53+00:00,
ACC0000184,CUST000142,LU90L68UHW9408S1A7GB,PR005,BR006,EUR,OPEN,2024-08-31T16:02:40+00:00,
ACC0000185,CUST000143,LU20SQJDSN8CW2G9O9YP,PR001,BR001,EUR,OPEN,2025-09-22T12:28:09+00:00,
ACC0000186,CUST000144,LU87U9DAQM2OX8MMS2LE,PR005,BR001,EUR,OPEN,2021-11-22T10:33:46+00:00,
ACC0000187,CUST000145,LU54R9QIKQAV3JCJUDT5,PR003,BR009,EUR,OPEN,2022-07-16T12:26:55+00:00,
ACC0000188,CUST000146,LU237E6K088ZFWONVVXS,PR006,BR002,EUR,OPEN,2024-03-04T08:21:20+00:00,
ACC0000189,CUST000147,LU57PPCUYHYQ8SB7X662,PR008,BR009,EUR,CLOSED,2022-08-28T01:24:22+00:00,2022-08-28T01:24:22+00:00
ACC0000190,CUST000148,LU12K88AENN1GN81EJB3,PR005,BR004,EUR,OPEN,2025-06-10T22:32:01+00:00,
ACC0000191,CUST000149,LU329EOQ0Y2Z1UBYH8AE,PR001,BR002,EUR,CLOSED,2021-07-07T14:59:56+00:00,2024-11-22T09:28:20+00:00
ACC0000192,CUST000150,LU13STFS2YZB4K8OIZ8S,PR001,BR002,EUR,OPEN,2024-06-11T04:38:17+00:00,
ACC0000193,CUST000151,LU0199JHCAZ89FTNWN06,PR003,BR005,EUR,OPEN,2023-09-11T07:12:57+00:00,
ACC0000194,CUST000151,LU32MHLD939ESEQGM5VW,PR003,BR003,EUR,OPEN,2023-09-11T07:12:57+00:00,
ACC0000195,CUST000151,LU08MU52VTJXU1KAUPO1,PR003,BR004,EUR,OPEN,2023-09-11T07:12:57+00:00,
ACC0000196,CUST000152,LU592WT59GLFRI8MQEEB,PR006,BR003,EUR,OPEN,2024-03-05T21:19:34+00:00,
ACC0000197,CUST000153,LU27C9Q884JXZOSI366F,PR001,BR010,EUR,OPEN,2023-06-17T10:07:56+00:00,
ACC0000198,CUST000153,LU78K6I2KLJ4WCO5OEQX,PR007,BR006,EUR,OPEN,2023-06-17T10:07:56+00:00,
ACC0000199,CUST000154,LU58CCUG7RQ8LYYXE7QY,PR004,BR009,EUR,OPEN,2025-07-17T01:36:56+00:00,
ACC0000200,CUST000155,LU4454A6I2KOE6RNJLKX,PR004,BR009,EUR,OPEN,2022-09-28T08:39:36+00:00,
ACC0000201,CUST000155,LU92H444NK0BPCIKI6CJ,PR002,BR004,EUR,OPEN,2022-09-28T08:39:36+00:00,
